,model,wape,rmse,r2,mape,mae,product_category,rank_mape,rank_wape,rank_rmse,rank_mae,rank_r2,base_mae,base_rmse,mase,rmsse,rank_rmsse,rank_mase,min_wape,min_rmse,min_r2,min_mape,max_wape,max_rmse,max_r2,max_mape,max_mae,min_mae
0,sarima,4187.441482146227,41.611028385330236,-0.5707586965370361,0.21874790155748386,33.544571252561454,bed_bath_table,2.0,1.0,1.0,1.0,1.0,34.18421052631579,51.86318032751376,0.9812884585044922,0.8023231148294103,1.0,1.0,453.1588219170658,7.271056376595473,-9.191471967543073,0.0673355825400554,3756.5902094666662,47.094104025365816,-0.1462656490299008,0.5912888585231534,44.0936530889516,6.614373147896618
1,prophet,7126.872362414987,58.87111956782396,-2.1441058921654728,0.28914513174521217,50.25513846705123,bed_bath_table,3.0,3.0,3.0,3.0,3.0,34.18421052631579,51.86318032751376,1.4701272222847936,1.1351235924225118,3.0,3.0,391.7601318160241,5.48828697556852,-14.383100626502058,0.061121896689267506,1408.7098229068924,28.376763486284283,0.6622700050321508,0.38987708480707894,25.586330263518853,5.080548388357183
2,xgb,6051.71218487395,48.561494519835364,-1.1393244889371221,0.20568290405045192,37.21875,bed_bath_table,1.0,2.0,2.0,2.0,2.0,34.18421052631579,51.86318032751376,1.0887702078521941,0.936338539464252,2.0,2.0,357.3939393939394,18.75499933351105,-319.28915662650604,0.2857944524611191,4872.618279569892,66.23631934218568,-0.6830143540669857,0.6947461453275406,55.75,16.25
3,sarima,5941.0401432345,50.344626627937465,-0.24985198446181056,0.24537696072476445,43.061438709705776,health_beauty,2.0,2.0,2.0,2.0,2.0,23.88157894736842,36.76078431097322,1.8031236043733547,1.3695199265079179,2.0,2.0,453.1588219170658,7.271056376595473,-9.191471967543073,0.0673355825400554,3756.5902094666662,47.094104025365816,-0.1462656490299008,0.5912888585231534,44.0936530889516,6.614373147896618
4,prophet,4860.553758799208,50.24591079634383,-0.24495536592525702,0.22928114797385396,38.54430921329491,health_beauty,1.0,1.0,1.0,1.0,1.0,23.88157894736842,36.76078431097322,1.6139765841379687,1.3668345694502837,1.0,1.0,391.7601318160241,5.48828697556852,-14.383100626502058,0.061121896689267506,1408.7098229068924,28.376763486284283,0.6622700050321508,0.38987708480707894,25.586330263518853,5.080548388357183
5,xgb,7030.122302158274,65.6931788696513,-1.1281042100574261,0.3276706977659185,55.53125,health_beauty,3.0,3.0,3.0,3.0,3.0,23.88157894736842,36.76078431097322,2.325275482093664,1.78704508353054,3.0,3.0,357.3939393939394,18.75499933351105,-319.28915662650604,0.2857944524611191,4872.618279569892,66.23631934218568,-0.6830143540669857,0.6947461453275406,55.75,16.25
6,sarima,2598.8586893524034,36.48934160308246,0.015398884101561205,0.2526151765317418,28.361362058022195,sports_leisure,2.0,1.0,2.0,1.0,2.0,21.276315789473685,29.36902234811725,1.3330015562212039,1.2424431828396107,2.0,1.0,453.1588219170658,7.271056376595473,-9.191471967543073,0.0673355825400554,3756.5902094666662,47.094104025365816,-0.1462656490299008,0.5912888585231534,44.0936530889516,6.614373147896618
7,prophet,2772.247487416381,35.56101879626294,0.06485994722802702,0.24874030910195194,29.405131343213277,sports_leisure,1.0,2.0,1.0,2.0,1.0,21.276315789473685,29.36902234811725,1.3820593581225782,1.2108342720690748,1.0,2.0,391.7601318160241,5.48828697556852,-14.383100626502058,0.061121896689267506,1408.7098229068924,28.376763486284283,0.6622700050321508,0.38987708480707894,25.586330263518853,5.080548388357183
8,xgb,5984.430573453608,65.59201552018355,-2.1814875020852122,0.48209546584732155,57.4375,sports_leisure,3.0,3.0,3.0,3.0,3.0,21.276315789473685,29.36902234811725,2.6995980210265924,2.233374156712044,3.0,3.0,357.3939393939394,18.75499933351105,-319.28915662650604,0.2857944524611191,4872.618279569892,66.23631934218568,-0.6830143540669857,0.6947461453275406,55.75,16.25
9,sarima,3948.693605263208,66.46859827628927,-2.472230759803428,0.39433739772622123,45.00183419190527,furniture_decor,3.0,2.0,3.0,3.0,3.0,26.48684210526316,40.18264223320942,1.699026030096771,1.6541619610408673,3.0,3.0,453.1588219170658,7.271056376595473,-9.191471967543073,0.0673355825400554,3756.5902094666662,47.094104025365816,-0.1462656490299008,0.5912888585231534,44.0936530889516,6.614373147896618
10,prophet,2634.018729653221,35.89206946858566,-0.012447561941060892,0.2588064142356863,29.596058305238373,furniture_decor,1.0,1.0,1.0,1.0,1.0,26.48684210526316,40.18264223320942,1.1173871988068138,0.8932232295795182,1.0,1.0,391.7601318160241,5.48828697556852,-14.383100626502058,0.061121896689267506,1408.7098229068924,28.376763486284283,0.6622700050321508,0.38987708480707894,25.586330263518853,5.080548388357183
11,xgb,3968.998468137255,48.754166488619205,-0.8680952307857615,0.36525711333359545,42.96875,furniture_decor,2.0,3.0,2.0,2.0,2.0,26.48684210526316,40.18264223320942,1.6222677595628414,1.2133141022848355,2.0,2.0,357.3939393939394,18.75499933351105,-319.28915662650604,0.2857944524611191,4872.618279569892,66.23631934218568,-0.6830143540669857,0.6947461453275406,55.75,16.25
12,sarima,3389.163125919539,48.84510824512467,-0.4237606121065258,0.33840660015590396,38.85063161869268,housewares,3.0,2.0,3.0,3.0,3.0,21.06578947368421,28.917532470985943,1.8442523441727945,1.6891174340041917,3.0,3.0,453.1588219170658,7.271056376595473,-9.191471967543073,0.0673355825400554,3756.5902094666662,47.094104025365816,-0.1462656490299008,0.5912888585231534,44.0936530889516,6.614373147896618
13,prophet,2993.0400785336433,41.58944571693361,-0.03219341970099987,0.3066002232171615,36.09948531713002,housewares,2.0,1.0,1.0,1.0,1.0,21.06578947368421,28.917532470985943,1.71365451848962,1.4382086631583064,1.0,1.0,391.7601318160241,5.48828697556852,-14.383100626502058,0.061121896689267506,1408.7098229068924,28.376763486284283,0.6622700050321508,0.38987708480707894,25.586330263518853,5.080548388357183
14,xgb,4047.13555372807,47.73821844183128,-0.35996344886104037,0.2717041393359519,37.0,housewares,1.0,3.0,2.0,2.0,2.0,21.06578947368421,28.917532470985943,1.7564022485946285,1.650839970171343,2.0,2.0,357.3939393939394,18.75499933351105,-319.28915662650604,0.2857944524611191,4872.618279569892,66.23631934218568,-0.6830143540669857,0.6947461453275406,55.75,16.25
15,sarima,2856.9509610431924,43.30874168230608,-0.07268906136972508,0.26752810928752946,30.18310929744979,watches_gifts,2.0,2.0,2.0,2.0,2.0,17.105263157894736,28.77498913987632,1.76455100508168,1.505082815905877,2.0,2.0,453.1588219170658,7.271056376595473,-9.191471967543073,0.0673355825400554,3756.5902094666662,47.094104025365816,-0.1462656490299008,0.5912888585231534,44.0936530889516,6.614373147896618
16,prophet,2192.28443419389,42.944695271320946,-0.054731147511625,0.25456228608283404,28.178700576822873,watches_gifts,1.0,1.0,1.0,1.0,1.0,17.105263157894736,28.77498913987632,1.6473701875681064,1.4924313285598527,1.0,1.0,391.7601318160241,5.48828697556852,-14.383100626502058,0.061121896689267506,1408.7098229068924,28.376763486284283,0.6622700050321508,0.38987708480707894,25.586330263518853,5.080548388357183
17,xgb,3710.076374481328,48.88091396445038,-0.36647394711680237,0.31059806372760745,38.28125,watches_gifts,3.0,3.0,3.0,3.0,3.0,17.105263157894736,28.77498913987632,2.237980769230769,1.698729188978609,3.0,3.0,357.3939393939394,18.75499933351105,-319.28915662650604,0.2857944524611191,4872.618279569892,66.23631934218568,-0.6830143540669857,0.6947461453275406,55.75,16.25
18,sarima,1002.3191256690378,24.191785896066428,-0.16263946407990093,0.30263565522320857,18.842653569902993,telephony,2.0,2.0,2.0,2.0,2.0,12.81578947368421,18.55149305950446,1.4702686563784675,1.3040344417816163,2.0,2.0,453.1588219170658,7.271056376595473,-9.191471967543073,0.0673355825400554,3756.5902094666662,47.094104025365816,-0.1462656490299008,0.5912888585231534,44.0936530889516,6.614373147896618
19,prophet,656.2989467854861,17.604318465718837,0.38433050929786705,0.19773696813230401,12.942524112483387,telephony,1.0,1.0,1.0,1.0,1.0,12.81578947368421,18.55149305950446,1.0098889451219069,0.948943484454457,1.0,1.0,391.7601318160241,5.48828697556852,-14.383100626502058,0.061121896689267506,1408.7098229068924,28.376763486284283,0.6622700050321508,0.38987708480707894,25.586330263518853,5.080548388357183
20,xgb,1892.814435840708,38.67613928509411,-1.9716347692815086,0.43506441659413275,30.65625,telephony,3.0,3.0,3.0,3.0,3.0,12.81578947368421,18.55149305950446,2.3920687885010268,2.084799275241042,3.0,3.0,357.3939393939394,18.75499933351105,-319.28915662650604,0.2857944524611191,4872.618279569892,66.23631934218568,-0.6830143540669857,0.6947461453275406,55.75,16.25
